name,population,longitude,latitude
Quillacollo,172405,-66.27838,-17.39228
Puesto de Pailas,2675,-62.8,-17.65
Padilla,2920,-64.30273,-19.30878
Mapiri,2597,-68.16667,-15.25
Amarete,2203,-68.98517,-15.23736
Achocalla,19583,-68.15112,-16.57386
Dorp Antriol,2980,-68.27042,12.16631
Touros,7662,-35.46083,-5.19889
São José da Coroa Grande,11512,-35.14778,-8.89778
Santa Rita,13224,-43.85999,-3.86358
Porto de Moz,9912,-52.23833,-1.74833
Pio XII,14773,-45.1525,-3.8325
Pedro II,22038,-41.45861,-4.42472
Parnamirim,150343,-35.26278,-5.91556
Nova Olinda do Norte,12343,-59.09542,-3.89174
Nova Cruz,23166,-35.43389,-6.47806
Montes Altos,3518,-47.06667,-5.83333
Marabá,145860,-49.13232,-5.38146
Jardim,7189,-39.05667,-3.46444
Jaguaribe,23065,-38.62194,-5.89056
Ingá,8751,-35.60444,-7.28083
Canhotinho,12074,-36.19111,-8.88222
Barcarena,29871,-48.62583,-1.50583
Barbalha,33943,-39.30417,-7.31111
Arês,7231,-35.16028,-6.19444
Apodi,16757,-37.79889,-5.66417
Almeirim,20464,-52.58167,-1.52333
Água Branca,5160,-37.93611,-9.26083
Vinhedo,56492,-46.97528,-23.02972
Tambaú,19956,-47.27444,-21.705
Taguatinga,13711,-46.43611,-12.40389
Siqueira Campos,13866,-49.83389,-23.68889
Serra Negra,22632,-46.70056,-22.61222
São Gonçalo dos Campos,14822,-38.96667,-12.43333
São Gonçalo do Sapucaí,19487,-45.59528,-21.89222
São Francisco de Paula,13292,-50.58361,-29.44806
Santa Vitória do Palmar,27775,-53.36806,-33.51889
Santa Vitória,11656,-50.12139,-18.83861
Salvador,2711840,-38.49096,-12.97563
Sacramento,16982,-47.44,-19.86528
Rondonópolis,152912,-54.63556,-16.47083
Rio Verde,229651,-50.92806,-17.79806
Raposos,13262,-43.80417,-19.96722
Porto União,28907,-51.07833,-26.23806
Porto Real,12061,-44.29028,-22.41972
Piquete,13844,-45.17611,-22.61361
Paty do Alferes,20659,-43.41861,-22.42861
Ouro Branco,26687,-43.69486,-20.52334
Nossa Senhora da Glória,18612,-37.42028,-10.21833
Monte Alegre de Minas,12451,-48.88083,-18.87056
Macaé,143029,-41.78324,-22.38484
Laranja da Terra,3016,-41.05667,-19.89889
Lagoa Santa,38486,-43.9009,-19.63006
Joanópolis,11772,-46.27556,-22.93028
Jaú,119206,-48.55778,-22.29639
Jaguarari,22612,-40.19583,-10.26389
